,form_type,-1,1,file_number,prediction
2,10-12G/A,0.6666666666666666,0.3333333333333333,3,-1
70,DEL AM,0.5,0.5,2,-1
17,144/A,0.5,0.5,2,-1
54,CB/A,1.0,0.0,2,-1
125,SC 14D9,1.0,0.0,2,-1
81,F-4,0.5,0.5,2,-1
134,SD/A,0.0,1.0,2,1
63,DEF 14C,0.0,1.0,2,1
5,10-KT,0.5,0.5,2,-1
74,DRS/A,1.0,0.0,2,-1
132,SC14D9C,0.0,1.0,2,1
8,10-QT,1.0,0.0,1,-1
6,10-KT/A,0.0,1.0,1,1
135,SEC STAFF ACTIONCATEGORY:             ORDER,1.0,0.0,1,-1
3,10-D,1.0,0.0,1,-1
53,AW,1.0,0.0,1,-1
84,FWPCONFIRMING COPY:,0.0,1.0,1,1
15,13FCONP,1.0,0.0,1,-1
119,SC 13E3,0.0,1.0,1,1
19,15-12B/A,1.0,0.0,1,-1
48,8-K12B/A,0.0,1.0,1,1
33,424B2CONFIRMING COPY:,1.0,0.0,1,-1
65,DEFA14ACONFIRMING COPY:,1.0,0.0,1,-1
112,S-4 POS,0.0,1.0,1,1
68,DEFN14A,0.0,1.0,1,1
25,25-NSE/A,1.0,0.0,1,-1
77,F-1,0.0,1.0,1,1
78,F-1/A,1.0,0.0,1,-1
79,F-1MEF,0.0,1.0,1,1
80,F-3ASR,0.0,1.0,1,1
87,NRSRO-CE,0.0,1.0,1,1
